sku,category,final_mrp_old
Os1109_XL,"Kurta Set",5997.00
Os1109_M,"Kurta Set",5997.00
Os1109_L,"Kurta Set",5997.00
Os1109_2XL,"Kurta Set",5997.00
Os1056_2XL,"Kurta Set",5395.00
Os1056_3XL,"Kurta Set",5395.00
Os1056_XL,"Kurta Set",5395.00
Os1056_S,"Kurta Set",5395.00
Os1056_L,"Kurta Set",5395.00
Os1056_M,"Kurta Set",5395.00
Os1119_XL,"Kurta Set",4895.00
Os1066_3XL,"Kurta Set",4895.00
Os1066_2XL,"Kurta Set",4895.00
Os1119_L,"Kurta Set",4895.00
Os1119_2XL,"Kurta Set",4895.00
Os1066_L,"Kurta Set",4895.00
Os1066_M,"Kurta Set",4895.00
Os1066_S,"Kurta Set",4895.00
Os1119_3XL,"Kurta Set",4895.00
Os1119_M,"Kurta Set",4895.00
Os1066_XL,"Kurta Set",4895.00
Os1119_S,"Kurta Set",4895.00
Os1103_M,Gown,4295.00
Os1103_S,Gown,4295.00
Os1103_L,Gown,4295.00
Os1103_2XL,Gown,4295.00
Os1103_XL,Gown,4295.00
Os1103_3XL,Gown,4295.00
Os235_1112_S,Kurta,3995.00
Os235_1112_M,Kurta,3995.00
Os235_1112_L,Kurta,3995.00
Os235_1112_2XL,Kurta,3995.00
Os235_1112_XL,Kurta,3995.00
Os233_1058_S,Kurta,3995.00
Os235_1112_3XL,Kurta,3995.00
Os233_1058_L,Kurta,3995.00
Os233_1058_M,Kurta,3995.00
Os233_1058_XL,Kurta,3995.00
Os233_1058_2XL,Kurta,3995.00
Os233_1058_3XL,Kurta,3995.00
Os276_3XL,"Kurta Set",3495.00
Os133_XL,"Kurta Set",3495.00
Os134_2XL,"Kurta Set",3495.00
Os276_S,"Kurta Set",3495.00
Os276_2XL,"Kurta Set",3495.00
Os134_M,"Kurta Set",3495.00
Os134_S,"Kurta Set",3495.00
Os276_XL,"Kurta Set",3495.00
Os287_M,"Kurta Set",3495.00
Os134_3XL,"Kurta Set",3495.00
Os287_3XL,"Kurta Set",3495.00
Os133_M,"Kurta Set",3495.00
Os133_L,"Kurta Set",3495.00
Os133_S,"Kurta Set",3495.00
Os133_2XL,"Kurta Set",3495.00
Os134_L,"Kurta Set",3495.00
Os134_XL,"Kurta Set",3495.00
Os287_2XL,"Kurta Set",3495.00
Os133_3XL,"Kurta Set",3495.00
Os287_S,"Kurta Set",3495.00
Os287_XL,"Kurta Set",3495.00
Os276_M,"Kurta Set",3495.00
Os287_L,"Kurta Set",3495.00
Os276_L,"Kurta Set",3495.00
Os277_S,"Kurta Set",3397.00
Os277_2XL,"Kurta Set",3397.00
Os277_3XL,"Kurta Set",3397.00
Os277_M,"Kurta Set",3397.00
Os277_L,"Kurta Set",3397.00
Os277_XL,"Kurta Set",3397.00
Os307_M,"Kurta Set",3297.00
Os307_3XL,"Kurta Set",3297.00
Os307_L,"Kurta Set",3297.00
Os280_3XL,"Kurta Set",3297.00
Os280_XL,"Kurta Set",3297.00
Os307_S,"Kurta Set",3297.00
Os280_S,"Kurta Set",3297.00
Os307_XL,"Kurta Set",3297.00
Os307_2XL,"Kurta Set",3297.00
Os280_2XL,"Kurta Set",3297.00
Os280_M,"Kurta Set",3297.00
Os280_L,"Kurta Set",3297.00
Os278_2XL,"Kurta Set",3295.00
Os278_XL,"Kurta Set",3295.00
Os278_M,"Kurta Set",3295.00
Os278_3XL,"Kurta Set",3295.00
Os278_L,"Kurta Set",3295.00
Os278_S,"Kurta Set",3295.00
Os282_2XL,"Kurta Set",3197.00
Os279_3XL,"Kurta Set",3197.00
Os279_M,"Kurta Set",3197.00
Os282_XL,"Kurta Set",3197.00
Os282_M,"Kurta Set",3197.00
Os282_L,"Kurta Set",3197.00
Os282_S,"Kurta Set",3197.00
Os279_L,"Kurta Set",3197.00
Os279_S,"Kurta Set",3197.00
Os282_3XL,"Kurta Set",3197.00
Os279_XL,"Kurta Set",3197.00
Os279_2XL,"Kurta Set",3197.00
