sku,amazon_mrp,flipkart_mrp,myntra_mrp,price_gap
Os168_S,2495.00,1695.00,1695.00,800.00
Os168_M,2495.00,1695.00,1695.00,800.00
Os168_L,2495.00,1695.00,1695.00,800.00
Os168_XL,2495.00,1695.00,1695.00,800.00
Os168_2XL,2495.00,1695.00,1695.00,800.00
Os168_3XL,2495.00,1695.00,1695.00,800.00
Os291_S,2195.00,2295.00,1795.00,500.00
Os291_M,2195.00,2295.00,1795.00,500.00
Os291_L,2195.00,2295.00,1795.00,500.00
Os291_XL,2195.00,2295.00,1795.00,500.00
Os291_2XL,2195.00,2295.00,1795.00,500.00
Os291_3XL,2195.00,2295.00,1795.00,500.00
Os277_S,3397.00,3397.00,3095.00,302.00
Os277_M,3397.00,3397.00,3095.00,302.00
Os277_L,3397.00,3397.00,3095.00,302.00
Os277_XL,3397.00,3397.00,3095.00,302.00
Os277_2XL,3397.00,3397.00,3095.00,302.00
Os277_3XL,3397.00,3397.00,3095.00,302.00
Os262_S,1695.00,1995.00,1995.00,300.00
Os262_M,1695.00,1995.00,1995.00,300.00
Os262_L,1695.00,1995.00,1995.00,300.00
Os262_XL,1695.00,1995.00,1995.00,300.00
Os262_2XL,1695.00,1995.00,1995.00,300.00
Os262_3XL,1695.00,1995.00,1995.00,300.00
Os1063_S,2695.00,2695.00,2395.00,300.00
Os1063_M,2695.00,2695.00,2395.00,300.00
Os1063_L,2695.00,2695.00,2395.00,300.00
Os1063_XL,2695.00,2695.00,2395.00,300.00
Os1063_2XL,2695.00,2695.00,2395.00,300.00
Os1063_3XL,2695.00,2695.00,2395.00,300.00
Os1075_S,2795.00,2795.00,2495.00,300.00
Os1075_M,2795.00,2795.00,2495.00,300.00
Os1075_L,2795.00,2795.00,2495.00,300.00
Os1075_XL,2795.00,2795.00,2495.00,300.00
Os1075_2XL,2795.00,2795.00,2495.00,300.00
Os1075_3XL,2795.00,2795.00,2495.00,300.00
Os287_S,3495.00,3495.00,3195.00,300.00
Os287_M,3495.00,3495.00,3195.00,300.00
Os287_L,3495.00,3495.00,3195.00,300.00
Os287_XL,3495.00,3495.00,3195.00,300.00
Os287_2XL,3495.00,3495.00,3195.00,300.00
Os287_3XL,3495.00,3495.00,3195.00,300.00
Os278_S,3295.00,3295.00,2995.00,300.00
Os278_M,3295.00,3295.00,2995.00,300.00
Os278_L,3295.00,3295.00,2995.00,300.00
Os278_XL,3295.00,3295.00,2995.00,300.00
Os278_2XL,3295.00,3295.00,2995.00,300.00
Os278_3XL,3295.00,3295.00,2995.00,300.00
Os276_S,3495.00,3495.00,3195.00,300.00
Os276_M,3495.00,3495.00,3195.00,300.00
Os276_L,3495.00,3495.00,3195.00,300.00
Os276_XL,3495.00,3495.00,3195.00,300.00
Os276_2XL,3495.00,3495.00,3195.00,300.00
Os276_3XL,3495.00,3495.00,3195.00,300.00
Os279_S,3197.00,3197.00,2995.00,202.00
Os279_M,3197.00,3197.00,2995.00,202.00
Os279_L,3197.00,3197.00,2995.00,202.00
Os279_XL,3197.00,3197.00,2995.00,202.00
Os279_2XL,3197.00,3197.00,2995.00,202.00
Os279_3XL,3197.00,3197.00,2995.00,202.00
Os153_S,1895.00,1695.00,1695.00,200.00
Os153_M,1895.00,1695.00,1695.00,200.00
Os153_L,1895.00,1695.00,1695.00,200.00
Os153_XL,1895.00,1695.00,1695.00,200.00
Os153_2XL,1895.00,1695.00,1695.00,200.00
Os153_3XL,1895.00,1695.00,1695.00,200.00
Os158_S,1895.00,1695.00,1695.00,200.00
Os158_M,1895.00,1695.00,1695.00,200.00
Os158_L,1895.00,1695.00,1695.00,200.00
Os158_XL,1895.00,1695.00,1695.00,200.00
Os158_2XL,1895.00,1695.00,1695.00,200.00
Os158_3XL,1895.00,1695.00,1695.00,200.00
Os150_S,1895.00,1695.00,1695.00,200.00
Os150_M,1895.00,1695.00,1695.00,200.00
Os150_L,1895.00,1695.00,1695.00,200.00
Os150_XL,1895.00,1695.00,1695.00,200.00
Os150_2XL,1895.00,1695.00,1695.00,200.00
Os150_3XL,1895.00,1695.00,1695.00,200.00
Os154_S,1895.00,1695.00,1695.00,200.00
Os154_M,1895.00,1695.00,1695.00,200.00
Os154_L,1895.00,1695.00,1695.00,200.00
Os154_XL,1895.00,1695.00,1695.00,200.00
Os154_2XL,1895.00,1695.00,1695.00,200.00
Os154_3XL,1895.00,1695.00,1695.00,200.00
Os143_XS,1995.00,1795.00,1795.00,200.00
Os143_S,1995.00,1795.00,1795.00,200.00
Os143_M,1995.00,1795.00,1795.00,200.00
Os143_L,1995.00,1795.00,1795.00,200.00
Os143_XL,1995.00,1795.00,1795.00,200.00
Os289_S,3095.00,3095.00,2895.00,200.00
Os289_M,3095.00,3095.00,2895.00,200.00
Os289_L,3095.00,3095.00,2895.00,200.00
Os289_XL,3095.00,3095.00,2895.00,200.00
Os289_2XL,3095.00,3095.00,2895.00,200.00
Os289_3XL,3095.00,3095.00,2895.00,200.00
Os294_S,2997.00,2975.00,2895.00,102.00
Os294_M,2997.00,2975.00,2895.00,102.00
Os294_L,2997.00,2975.00,2895.00,102.00
Os294_XL,2997.00,2975.00,2895.00,102.00
Os294_2XL,2997.00,2975.00,2895.00,102.00
Os294_3XL,2997.00,2975.00,2895.00,102.00
Os204_3091_3XL,2395.00,2295.00,2395.00,100.00
Os152_S,1695.00,1795.00,1795.00,100.00
Os152_M,1695.00,1795.00,1795.00,100.00
Os152_L,1695.00,1795.00,1795.00,100.00
Os152_XL,1695.00,1795.00,1795.00,100.00
Os152_2XL,1695.00,1795.00,1795.00,100.00
Os152_3XL,1695.00,1795.00,1795.00,100.00
Os149_S,1695.00,1795.00,1795.00,100.00
Os149_M,1695.00,1795.00,1795.00,100.00
Os149_L,1695.00,1795.00,1795.00,100.00
Os149_XL,1695.00,1795.00,1795.00,100.00
Os149_2XL,1695.00,1795.00,1795.00,100.00
Os149_3XL,1695.00,1795.00,1795.00,100.00
Os221_S,1695.00,1795.00,1795.00,100.00
Os221_M,1695.00,1795.00,1795.00,100.00
Os221_L,1695.00,1795.00,1795.00,100.00
Os221_XL,1695.00,1795.00,1795.00,100.00
Os221_2XL,1695.00,1795.00,1795.00,100.00
Os221_3XL,1695.00,1795.00,1795.00,100.00
Os146_XS,1795.00,1895.00,1795.00,100.00
Os146_S,1795.00,1895.00,1795.00,100.00
Os146_M,1795.00,1895.00,1795.00,100.00
Os146_L,1795.00,1895.00,1795.00,100.00
Os146_XL,1795.00,1895.00,1795.00,100.00
Os151_S,1895.00,1995.00,1995.00,100.00
Os151_M,1895.00,1995.00,1995.00,100.00
Os151_L,1895.00,1995.00,1995.00,100.00
Os151_XL,1895.00,1995.00,1995.00,100.00
Os151_2XL,1895.00,1995.00,1995.00,100.00
Os151_3XL,1895.00,1995.00,1995.00,100.00
Os282_S,3295.00,3295.00,3197.00,98.00
Os282_M,3295.00,3295.00,3197.00,98.00
Os282_L,3295.00,3295.00,3197.00,98.00
Os282_XL,3295.00,3295.00,3197.00,98.00
Os282_2XL,3295.00,3295.00,3197.00,98.00
Os282_3XL,3295.00,3295.00,3197.00,98.00
Os285_XS,1595.00,1595.00,1597.00,2.00
Os285_S,1595.00,1595.00,1597.00,2.00
Os285_M,1595.00,1595.00,1597.00,2.00
Os285_L,1595.00,1595.00,1597.00,2.00
Os285_XL,1595.00,1595.00,1597.00,2.00
Os206_3141_S,2295.00,2295.00,2295.00,0.00
Os206_3141_M,2295.00,2295.00,2295.00,0.00
Os206_3141_L,2295.00,2295.00,2295.00,0.00
Os206_3141_XL,2295.00,2295.00,2295.00,0.00
Os206_3141_2XL,2295.00,2295.00,2295.00,0.00
Os206_3141_3XL,2295.00,2295.00,2295.00,0.00
Os223_3142_S,2295.00,2295.00,2295.00,0.00
Os223_3142_M,2295.00,2295.00,2295.00,0.00
Os223_3142_L,2295.00,2295.00,2295.00,0.00
Os223_3142_XL,2295.00,2295.00,2295.00,0.00
Os223_3142_2XL,2295.00,2295.00,2295.00,0.00
Os223_3142_3XL,2295.00,2295.00,2295.00,0.00
Os212_3143_S,2295.00,2295.00,2295.00,0.00
Os212_3143_M,2295.00,2295.00,2295.00,0.00
Os212_3143_L,2295.00,2295.00,2295.00,0.00
Os212_3143_XL,2295.00,2295.00,2295.00,0.00
Os212_3143_2XL,2295.00,2295.00,2295.00,0.00
Os212_3143_3XL,2295.00,2295.00,2295.00,0.00
Os214_3144_S,2295.00,2295.00,2295.00,0.00
Os214_3144_M,2295.00,2295.00,2295.00,0.00
Os214_3144_L,2295.00,2295.00,2295.00,0.00
Os214_3144_XL,2295.00,2295.00,2295.00,0.00
Os214_3144_2XL,2295.00,2295.00,2295.00,0.00
Os214_3144_3XL,2295.00,2295.00,2295.00,0.00
Os207_3145_S,2295.00,2295.00,2295.00,0.00
Os207_3145_M,2295.00,2295.00,2295.00,0.00
Os207_3145_L,2295.00,2295.00,2295.00,0.00
Os207_3145_XL,2295.00,2295.00,2295.00,0.00
Os207_3145_2XL,2295.00,2295.00,2295.00,0.00
Os207_3145_3XL,2295.00,2295.00,2295.00,0.00
Os202_3146_S,2295.00,2295.00,2295.00,0.00
Os202_3146_M,2295.00,2295.00,2295.00,0.00
Os202_3146_L,2295.00,2295.00,2295.00,0.00
Os202_3146_XL,2295.00,2295.00,2295.00,0.00
Os202_3146_2XL,2295.00,2295.00,2295.00,0.00
Os202_3146_3XL,2295.00,2295.00,2295.00,0.00
Os181_5051_S,1895.00,1895.00,1895.00,0.00
Os181_5051_M,1895.00,1895.00,1895.00,0.00
Os181_5051_L,1895.00,1895.00,1895.00,0.00
Os181_5051_XL,1895.00,1895.00,1895.00,0.00
Os181_5051_2XL,1895.00,1895.00,1895.00,0.00
Os181_5051_3XL,1895.00,1895.00,1895.00,0.00
Os191_5052_S,1895.00,1895.00,1895.00,0.00
Os191_5052_M,1895.00,1895.00,1895.00,0.00
Os191_5052_L,1895.00,1895.00,1895.00,0.00
Os191_5052_XL,1895.00,1895.00,1895.00,0.00
Os191_5052_2XL,1895.00,1895.00,1895.00,0.00
Os191_5052_3XL,1895.00,1895.00,1895.00,0.00
Os197_5053_S,1895.00,1895.00,1895.00,0.00
Os197_5053_M,1895.00,1895.00,1895.00,0.00
Os197_5053_L,1895.00,1895.00,1895.00,0.00
Os197_5053_XL,1895.00,1895.00,1895.00,0.00
Os197_5053_2XL,1895.00,1895.00,1895.00,0.00
Os197_5053_3XL,1895.00,1895.00,1895.00,0.00
OS219_5054_S,1895.00,1895.00,1895.00,0.00
OS219_5054_M,1895.00,1895.00,1895.00,0.00
OS219_5054_L,1895.00,1895.00,1895.00,0.00
OS219_5054_XL,1895.00,1895.00,1895.00,0.00
OS219_5054_2XL,1895.00,1895.00,1895.00,0.00
OS219_5054_3XL,1895.00,1895.00,1895.00,0.00
Os195_5055_S,1895.00,1895.00,1895.00,0.00
Os195_5055_M,1895.00,1895.00,1895.00,0.00
Os195_5055_L,1895.00,1895.00,1895.00,0.00
