sku,tp,final_mrp_old,margin
Os1109_M,1195.00,5997.00,4802.00
Os1109_L,1195.00,5997.00,4802.00
Os1109_XL,1195.00,5997.00,4802.00
Os1109_2XL,1195.00,5997.00,4802.00
Os1056_S,1295.00,5395.00,4100.00
Os1056_M,1295.00,5395.00,4100.00
Os1056_L,1295.00,5395.00,4100.00
Os1056_XL,1295.00,5395.00,4100.00
Os1056_2XL,1295.00,5395.00,4100.00
Os1056_3XL,1295.00,5395.00,4100.00
Os1066_S,1150.00,4895.00,3745.00
Os1066_M,1150.00,4895.00,3745.00
Os1066_L,1150.00,4895.00,3745.00
Os1066_XL,1150.00,4895.00,3745.00
Os1066_2XL,1150.00,4895.00,3745.00
Os1066_3XL,1150.00,4895.00,3745.00
Os1119_S,1150.00,4895.00,3745.00
Os1119_M,1150.00,4895.00,3745.00
Os1119_L,1150.00,4895.00,3745.00
Os1119_XL,1150.00,4895.00,3745.00
Os1119_2XL,1150.00,4895.00,3745.00
Os1119_3XL,1150.00,4895.00,3745.00
Os1103_S,995.00,4295.00,3300.00
Os1103_M,995.00,4295.00,3300.00
Os1103_L,995.00,4295.00,3300.00
Os1103_XL,995.00,4295.00,3300.00
Os1103_2XL,995.00,4295.00,3300.00
Os1103_3XL,995.00,4295.00,3300.00
Os235_1112_S,952.00,3995.00,3043.00
Os235_1112_M,952.00,3995.00,3043.00
Os235_1112_L,952.00,3995.00,3043.00
Os235_1112_XL,952.00,3995.00,3043.00
Os235_1112_2XL,952.00,3995.00,3043.00
Os235_1112_3XL,952.00,3995.00,3043.00
Os233_1058_S,952.00,3995.00,3043.00
Os233_1058_M,952.00,3995.00,3043.00
Os233_1058_L,952.00,3995.00,3043.00
Os233_1058_XL,952.00,3995.00,3043.00
Os233_1058_2XL,952.00,3995.00,3043.00
Os233_1058_3XL,952.00,3995.00,3043.00
Os287_S,695.00,3495.00,2800.00
Os287_M,695.00,3495.00,2800.00
Os287_L,695.00,3495.00,2800.00
Os287_XL,695.00,3495.00,2800.00
